ID,L,dL,x8,dx8,x24,dx24,magJ,magK
50,132840.46,6156.7903,0.15460000,0.0044680000,0.19130000,0.0011680000,9.3759876,8.0239015
185,104503.55,4891.3596,0.059380000,0.0018790000,0.066630000,0.00069020000,9.1429529,7.7509817
54912,106038.38,4946.1709,0.11040000,0.0026450000,0.13690000,0.00088820000,9.5249180,8.1999662
1173,59291.931,2833.3905,0.054630000,0.0018850000,0.014110000,0.00037530000,9.5498274,8.2200093
458,156478.29,7272.1329,0.82310000,0.020940000,1.1250000,0.0059790000,10.126265,8.7599800
214,110263.90,5122.8138,0.14250000,0.0042370000,0.095270000,0.00090970000,9.4051288,8.1218565
146,139897.90,6614.6215,0.17260000,0.0054260000,0.091290000,0.00097730000,8.8190679,7.4450665
114,97403.922,4553.3424,0.064640000,0.0021910000,0.097710000,0.00063340000,9.3759876,8.0181123
478,127445.62,5969.8178,0.12550000,0.0048250000,0.20930000,0.0011920000,8.9250775,7.6180731
231,50587.671,2385.3400,0.077290000,0.0016670000,0.064810000,0.00075500000,9.9677879,8.5099367
772,37903.825,1786.1593,0.055800000,0.0012720000,0.024140000,0.00034470000,10.127796,8.7537610
145,107304.20,5060.8207,0.091370000,0.0025220000,0.10230000,0.0010500000,9.1398641,7.8540121
251,96391.886,4520.9966,0.050290000,0.0019500000,0.063810000,0.00056890000,9.2001102,7.9150363
220,196999.33,9166.0318,0.11000000,0.0045630000,0.091440000,0.00097040000,8.9629334,7.4870493
936,37755.472,1789.5336,0.054590000,0.0012620000,0.018350000,0.00028430000,10.189269,8.7878817
408,67611.628,3168.8587,0.035700000,0.0014330000,0.040990000,0.00074870000,9.6118599,8.3688340
804,41541.073,1953.7174,0.039690000,0.0011210000,0.022640000,0.00032150000,9.9468321,8.7368401
1160,39558.070,1860.1065,0.037680000,0.0011680000,0.015180000,0.00027040000,10.108808,8.7378581
1064,24619.933,1151.5807,0.12940000,0.0036100000,0.14660000,0.00098310000,11.021919,9.8700036
869,24535.373,1154.5082,0.042580000,0.0010040000,0.019000000,0.00031760000,10.671996,9.3627781
1844,81777.855,3888.7512,0.018520000,0.0020420000,0.0063710000,0.00028950000,9.4178045,8.1238797
1094,23772.349,1116.0455,0.040870000,0.00071820000,0.015820000,0.00025630000,10.790981,9.4300163
1722,63863.719,3027.3365,0.013990000,0.0013770000,0.0073800000,0.00023120000,9.6151999,8.3648537
55105,174632.66,8210.2463,0.10170000,0.0046150000,0.13810000,0.0012920000,8.5159997,7.1189512
1166,53644.046,2514.0413,0.019510000,0.0010710000,0.013420000,0.00023950000,9.7951439,8.4469837
1983,26474.744,1238.3026,0.035070000,0.00064890000,0.0094180000,0.00018940000,9.0749130,7.7729542
793,83692.960,3879.8154,0.021740000,0.0010460000,0.019640000,0.00037100000,10.802046,9.4474972
795,44461.851,2081.5757,0.029450000,0.00098200000,0.024460000,0.00035320000,9.8167910,8.5909067
1125,96693.243,4471.9976,0.017930000,0.00094130000,0.013250000,0.00030750000,10.020629,8.8231095
1292,24857.532,1167.2736,0.043910000,0.00099390000,0.012700000,0.00022750000,9.8998672,8.6832371
277,17741.685,827.09105,0.070810000,0.0013520000,0.061800000,0.00050160000,10.692038,9.3332993
571,58297.513,2752.2789,0.025410000,0.0014250000,0.032050000,0.00071800000,11.402040,10.173000
2012,20499.636,957.22533,0.043540000,0.00080840000,0.0096940000,0.00018720000,9.6980905,8.4730048
1480,23507.252,1106.1185,0.020070000,0.00071430000,0.010730000,0.00029820000,11.084995,9.8280595
1860,36453.806,1711.1584,0.011880000,0.00069850000,0.0070590000,0.00018020000,10.687025,9.2551061
337,36087.464,1699.8146,0.048390000,0.0012390000,0.053250000,0.00051750000,10.250136,8.9411205
354,66810.578,3140.5067,0.043690000,0.0016170000,0.044580000,0.00058670000,10.137803,8.7809712
925,15029.533,702.99121,0.052810000,0.0010000000,0.029330000,0.00030880000,9.6071063,8.3040998
1112,35787.845,1695.1989,0.019570000,0.00081580000,0.015590000,0.00027440000,11.593077,10.275050
1032,35836.386,1682.9809,0.037690000,0.0011350000,0.016430000,0.00025410000,10.038830,8.7741045
1350,45034.625,2114.9975,0.019460000,0.00095040000,0.010720000,0.00024280000,10.265684,8.9747991
52834,1763.8636,84.737738,0.00045800000,6.0390000e-05,0.00019800000,5.1230000e-05,10.043074,8.7868157
41068,3883.5650,181.55658,0.00081550000,6.9180000e-05,0.00033270000,4.2000000e-05,13.575050,12.437046
11113,3101.0736,145.06269,0.0032000000,0.00010830000,0.0016030000,7.1900000e-05,13.442980,12.315071
46654,3567.6764,167.61438,0.00044880000,6.0860000e-05,0.00021630000,5.0900000e-05,12.666005,11.572847
30184,3764.4587,184.83229,0.00066930000,9.2670000e-05,0.00055390000,8.0910000e-05,12.998647,11.790953
20994,4111.8718,192.68329,0.00096070000,9.2410000e-05,0.00083930000,5.6950000e-05,12.614091,11.436219
45720,3558.4454,166.87534,0.00056120000,7.1400000e-05,0.00024550000,4.8230000e-05,12.670778,11.450991
31714,3305.7501,155.01528,0.00080400000,9.9840000e-05,0.00054230000,5.6880000e-05,12.699862,11.536039
38316,3196.5185,151.47895,0.00081640000,8.8890000e-05,0.00041080000,5.2640000e-05,12.678779,11.413832
45709,3297.9794,154.77575,0.00086460000,7.1790000e-05,0.00027230000,5.0460000e-05,12.535306,11.430731
48524,3242.5169,151.96482,0.00074500000,7.7890000e-05,0.00020370000,5.6850000e-05,12.574713,11.455338
4930,2966.3267,138.55135,0.0027870000,0.00013740000,0.0033200000,8.8980000e-05,12.739894,11.557016
43863,2822.9709,132.18254,0.00052950000,6.9430000e-05,0.00033910000,5.1920000e-05,12.768297,11.634172
38327,2687.3831,127.32542,0.00055020000,6.3390000e-05,0.00044310000,4.8990000e-05,12.871605,11.632706
20053,2297.8879,108.20219,0.00098970000,6.5260000e-05,0.00097780000,4.4450000e-05,12.654165,11.467224
10157,1967.5199,91.669622,0.00074490000,9.9180000e-05,0.0017950000,5.6720000e-05,12.873525,11.699169
19729,2580.2507,120.98685,0.0012560000,5.9750000e-05,0.00098220000,4.1940000e-05,12.568892,11.384294
8486,2245.3593,105.24814,0.0020470000,7.7000000e-05,0.0020640000,0.00010200000,12.851647,11.714069
42692,5118.8989,239.85827,0.0013050000,0.00012780000,0.00022870000,4.7950000e-05,12.641676,11.457829
39704,4518.7531,213.73204,0.0012220000,8.8690000e-05,0.00028920000,5.2030000e-05,12.644007,11.459702
37671,4423.0288,207.89913,0.0012180000,0.00010280000,0.00036020000,4.3510000e-05,12.598317,11.433776
44808,4609.5623,215.73772,0.0010280000,8.5220000e-05,0.00018420000,5.5080000e-05,13.230994,12.199977
42035,4464.7496,209.45718,0.0013520000,0.00011380000,0.00025520000,4.6200000e-05,13.365003,12.213027
17921,4160.4414,193.69760,0.0018400000,0.00017210000,0.0010320000,5.4530000e-05,13.352982,12.374057
26831,4456.2257,208.65023,0.0014370000,0.00010650000,0.00060100000,5.0470000e-05,13.159046,12.190017
43347,5277.0353,247.30208,0.0011540000,0.00012430000,0.00019330000,5.1780000e-05,13.312936,12.166047
30757,4906.5133,230.16019,0.0013420000,0.00011730000,0.00044840000,5.1840000e-05,13.315965,12.338956
8040,4404.6856,205.96861,0.0029520000,0.00012550000,0.0020130000,6.8250000e-05,13.532974,12.376961
32969,5481.6932,257.23932,0.0012480000,0.00011380000,0.00039090000,4.8520000e-05,13.413039,12.285000
24108,5605.6324,263.62787,0.0014080000,0.00013750000,0.00059980000,5.5850000e-05,12.658098,11.474799
32725,5472.9032,256.30089,0.0012220000,0.00012620000,0.00038650000,5.0040000e-05,12.831126,11.624677
35221,5720.0489,268.72317,0.00091130000,0.00012000000,0.00030410000,4.9910000e-05,12.738196,11.522716
36261,5457.5140,255.92652,0.0017810000,0.00015980000,0.00030370000,4.5700000e-05,12.894871,11.827148
51956,2086.1416,97.368656,0.0011310000,7.6230000e-05,0.00024060000,5.6820000e-05,12.750136,11.610947
27246,4122.4553,192.68876,0.0024880000,0.00012110000,0.00063790000,6.0410000e-05,12.866820,11.751831
51509,3811.9876,178.86188,0.0010510000,9.7140000e-05,0.00011170000,4.3080000e-05,12.883176,11.738020
39962,3739.2305,175.62425,0.0013310000,0.00011100000,0.00033980000,4.8820000e-05,12.951181,11.774133
43623,4399.0135,205.93616,0.00076570000,8.4170000e-05,0.00024590000,4.4170000e-05,12.990056,11.929053
45879,4045.0521,189.25458,0.00072480000,8.2800000e-05,0.00021620000,4.9650000e-05,13.012973,11.854659
46360,3731.7646,174.41338,0.0012280000,7.5550000e-05,0.00026080000,5.3050000e-05,12.960510,11.843927
39846,3917.0375,183.54623,0.0010340000,0.00010210000,0.00033100000,4.6570000e-05,12.875448,11.755106
27405,5026.3602,236.84591,0.0014710000,0.00010750000,0.00053850000,5.9660000e-05,12.933776,11.807178
36944,5428.9275,254.65055,0.00087290000,0.00012020000,0.00029370000,5.0090000e-05,12.850706,11.742064
32731,5103.6024,240.08609,0.0011610000,0.00012550000,0.00040220000,4.8160000e-05,12.652596,11.591024
43519,5513.4833,258.85304,0.0013240000,0.00011080000,0.00016280000,5.2830000e-05,13.058944,11.857358
31511,5962.6875,279.68136,0.0010610000,0.00010280000,0.00037150000,5.1600000e-05,13.211014,12.125967
47571,4207.8017,197.56192,0.00076690000,0.00010460000,0.00017050000,4.4700000e-05,12.853532,11.742064
11430,16063.883,753.30932,0.0028660000,0.00036100000,0.00066320000,6.1380000e-05,12.886088,11.812352
45317,2893.8101,134.91464,0.0013240000,8.4070000e-05,0.00034970000,5.2410000e-05,13.490940,12.480951
18323,5583.0758,261.36774,0.0020120000,0.00014520000,0.00093620000,7.1000000e-05,12.981532,11.873699
26195,6151.8754,289.84976,0.0029360000,0.00019200000,0.00046680000,7.6380000e-05,13.127027,11.982315
67,178895.66,8445.1442,0.31490000,0.0092020000,0.49160000,0.0025250000,13.062026,12.102001
1687,27098.450,1271.7245,0.024490000,0.00084550000,0.0092680000,0.00020870000,12.862055,11.815815
1247,48306.885,2263.8989,0.010540000,0.00077730000,0.011550000,0.00028980000,12.992197,11.836830
2706,40613.071,1911.0758,0.016100000,0.00092870000,0.0035910000,0.00014880000,13.320016,12.201956
1948,27379.218,1293.2882,0.018700000,0.00072980000,0.0089390000,0.00025430000,13.365003,12.263964
970,36833.575,1725.8032,0.027470000,0.00091230000,0.016490000,0.00028270000,13.339026,12.217035
